id;province_name;province_type
1;Soap;Refined Granite Sausages Savings Account extensible
2;Course robust bricks-and-clicks;Buckinghamshire Nepalese Rupee
3;Forge Licensed;auxiliary
4;Engineer Toys Fantastic;Licensed
5;Marketing mobile Cayman Islands Dollar;Computer Uzbekistan
6;input invoice calculate;Philippine Peso parsing Triple-buffered
7;deposit Rand Namibia Dollar;Branding
8;Handcrafted Rubber Sausages;Towels Mississippi Product
9;Metal;complexity Direct Administrator
10;online program Refined Granite Gloves;quantifying Baby
