id;district_name;district_type
1;one-to-one Connecticut;Unbranded Tugrik
2;models streamline;projection Maldives
3;withdrawal alarm Timor-Leste;Personal Loan Account Inverse
4;Track;Books CSS Holy See (Vatican City State)
5;Data Tasty Steel Pants Licensed Steel Shirt;Manor
6;Utah zero defect;bypass e-services
7;Russian Federation program;Practical
8;emulation SQL;Persevering Gorgeous Steel Salad Associate
9;Fantastic whiteboard;lavender
10;neural Cloned Massachusetts;SCSI Communications Underpass
