id;name;product_code;price;final_price;discount;release_type;release_status;description;material_desc;slug;is_valid;created_by;created_date;modified_by;modified_date
1;Bypass;Plastic Movies;7535906;86472238;69;Zimbabwe parse Customer;input Accounts;enhance Multi-channelled purple;Response;white SMTP;true;Fantastic Concrete Computer Baby;49816;Springs connecting;30777
2;connecting Planner Refined;engage Granite Grocery;75513726;78466827;62;transmitter cyan;Checking Account;seamless New York mesh;Unbranded array;Berkshire solid state;false;Home Loan Account;86236;Data Granite Configuration;49211
3;Business-focused Canyon Orchestrator;frictionless orchid;57964994;24014562;34;Brunei Darussalam;Rubber Shirt;Pakistan Rupee;Chicken;e-business RSS;true;Officer Savings Account Automated;82179;B2B;34761
4;Movies;Granite Island;20633372;89421727;36;Bedfordshire;alliance Licensed Plaza;Sleek GB Regional;Home;primary quantify Chips;false;cultivate Bedfordshire;61825;back-end Roads bypass;3668
5;Customer-focused;Bond Markets Units European Composite Unit (EURCO) connecting generate;3047216;10717201;87;back-end enhance;optimal;Chair Kentucky;blue internet solution Concrete;distributed Ranch impactful;true;Club Nebraska;73682;Pennsylvania Michigan;56445
6;empower;customized payment;57077831;24435316;35;Director Personal Loan Account;Music;Pants;Avon;blue scalable Car;true;Small Andorra infomediaries;98237;Fresh incubate Agent;86550
7;parsing;Bedfordshire;72289610;66864322;82;hard drive Mexico Gardens;override silver orchestration;tan program;Metal Auto Loan Account;Awesome;true;Applications;32064;Checking Account frictionless;45426
8;Bahamas;Manager open architecture;80987445;8786812;25;UAE Dirham;Rubber Mall Investment Account;scalable Configuration calculating;infrastructures Mobility Representative;Shirt;false;synthesize Arizona synthesizing;13977;1080p indigo Bacon;16426
9;open-source;payment National;31619659;87720054;59;Tanzanian Shilling Lights;e-enable Plaza intranet;convergence Idaho customized;synthesize Bahrain;Pre-emptive Bouvet Island (Bouvetoya) experiences;false;array Belize Dollar;16673;HDD Borders reboot;57315
10;Liaison copy program;hack Electronics Oklahoma;76245869;49398149;88;scalable connecting Fantastic;Creek Investment Account Buckinghamshire;Shoes Intuitive;synthesize Baby Credit Card Account;Portugal Persistent;false;Chips National Idaho;40085;Glen Communications;15335
