id;province_name;province_type
1;Computer Uzbekistan;input invoice calculate
2;Philippine Peso parsing Triple-buffered;deposit Rand Namibia Dollar
3;Branding;Handcrafted Rubber Sausages
4;Towels Mississippi Product;Metal
5;complexity Direct Administrator;online program Refined Granite Gloves
6;quantifying Baby;one-to-one Connecticut
7;Unbranded Tugrik;models streamline
8;projection Maldives;withdrawal alarm Timor-Leste
9;Personal Loan Account Inverse;Track
10;Books CSS Holy See (Vatican City State);Data Tasty Steel Pants Licensed Steel Shirt
