id;order_status;total_price;created_by;created_date;modified_by;modified_date
1;JSON National;46570;Rue District;58706;Grocery;91274
2;Devolved;57763;Table Automotive;31147;multi-byte modular;22009
3;olive;51517;Strategist;45898;Massachusetts;86063
4;Zimbabwe;18446;matrices application;39731;eyeballs solid state sticky;46823
5;Checking Account;37772;generating Arkansas;29404;system Macedonia Japan;48108
6;Borders hack;10298;user-centric;7550;navigate didactic Dynamic;52657
7;auxiliary Liaison;83978;SMTP web-readiness Cyprus;25388;olive;50550
8;Checking Account;33927;Florida THX Idaho;72081;open-source;98872
9;Auto Loan Account neural Markets;94440;Concrete empower superstructure;8692;deposit;73590
10;backing up;12277;COM;64292;circuit Forward;62476
